decision	bucket	name	url	status	items	stub_pct	freshness_h	reason
ACCEPT	turkey_extra	Anadolu Agency English	https://www.aa.com.tr/en/rss/default?cat=guncel	200	10	0.0	0.1	items=10, avg_summary=111.5c, stub=0.0%, fresh=0.1h
ACCEPT	turkey_extra	Bianet English	https://bianet.org/english/rss	200	10	0.0	0.7	items=10, avg_summary=141.8c, stub=0.0%, fresh=0.7h
ACCEPT	ukraine	Kyiv Post	https://www.kyivpost.com/feed	200	10	0.0	1.1	items=10, avg_summary=138.8c, stub=0.0%, fresh=1.1h
ACCEPT	ukraine	Ukrainska Pravda English	https://www.pravda.com.ua/eng/rss/	200	10	0.0	1.0	items=10, avg_summary=153.5c, stub=0.0%, fresh=1.0h
ACCEPT	ukraine	Ukrinform English	https://www.ukrinform.net/rss/block-lastnews	200	10	0.0	0.2	items=10, avg_summary=145.5c, stub=0.0%, fresh=0.2h
ACCEPT	us_extra	Axios World	https://www.axios.com/feeds/feed.rss	200	10	0.0	0.2	items=10, avg_summary=500.0c, stub=0.0%, fresh=0.2h
ACCEPT	us_extra	Politico	https://www.politico.com/rss/politicopicks.xml	200	10	0.0		items=10, avg_summary=136.5c, stub=0.0%, fresh=Noneh
ACCEPT	us_extra	The Hill	https://thehill.com/homenews/feed/	200	10	0.0	5.4	items=10, avg_summary=367.6c, stub=0.0%, fresh=5.4h
ACCEPT	vietnam_thai_my	Bangkok Post	https://www.bangkokpost.com/rss/data/topstories.xml	200	10	0.0	0.4	items=10, avg_summary=213.3c, stub=0.0%, fresh=0.4h
ACCEPT	vietnam_thai_my	Channel News Asia	https://www.channelnewsasia.com/rssfeeds/8395986	200	10	30.0	0.2	items=10, avg_summary=103.1c, stub=30.0%, fresh=0.2h
ACCEPT	vietnam_thai_my	Malay Mail World	https://www.malaymail.com/feed/rss/world	200	10	0.0	0.9	items=10, avg_summary=113.5c, stub=0.0%, fresh=0.9h
ACCEPT	vietnam_thai_my	Straits Times	https://www.straitstimes.com/news/world/rss.xml	200	10	0.0	0.1	items=10, avg_summary=150.4c, stub=0.0%, fresh=0.1h
ACCEPT	vietnam_thai_my	VnExpress English	https://e.vnexpress.net/rss/news.rss	200	10	0.0	2.2	items=10, avg_summary=202.9c, stub=0.0%, fresh=2.2h
ACCEPT_STUB	pakistan	ARY News English	https://arynews.tv/feed/	200	10	100.0		stub_pct=100.0% — titles only, no body
ACCEPT_STUB	russia_native	Lenta.ru	https://lenta.ru/rss	200	10	100.0	0.1	stub_pct=100.0% — titles only, no body
ACCEPT_STUB	russia_native	RIA Novosti RU	https://ria.ru/export/rss2/index.xml	200	10	100.0		stub_pct=100.0% — titles only, no body
ACCEPT_STUB	taiwan_hk	Taipei Times	https://www.taipeitimes.com/xml/index.rss	200	10	100.0	9.6	stub_pct=100.0% — titles only, no body
REJECT	africa_other	Daily Monitor Uganda	https://www.monitor.co.ug/rss/world	404	0	0		http 404
REJECT	africa_other	Ghana Web	https://www.ghanaweb.com/GhanaHomePage/rss/news.xml	200	0	0		200 but no parseable items (likely HTML page)
REJECT	africa_other	The Citizen Tanzania	https://www.thecitizen.co.tz/rss	404	0	0		http 404
REJECT	argentina_chile	BioBio Chile	https://www.biobiochile.cl/lista/rss.shtml	404	0	0		http 404
REJECT	australia_nz	NZ Herald World	https://www.nzherald.co.nz/rss/news/world	404	0	0		http 404
REJECT	australia_nz	RNZ World	https://www.rnz.co.nz/rss/world.xml	200	1	0.0	13.7	http 200
REJECT	belarus_caucasus	Belsat English	https://belsat.eu/en/rss/	503	0	0		http 503
REJECT	belarus_caucasus	Eurasianet	https://eurasianet.org/rss.xml	404	0	0		http 404
REJECT	canada	CTV News	https://www.ctvnews.ca/rss/world/ctvnews-ca-world-public-rss-1.822289	404	0	0		http 404
REJECT	canada	CTV News World	https://www.ctvnews.ca/rss/ctvnews-ca-world-public-rss-1.822289	404	0	0		http 404
REJECT	canada	Globe and Mail	https://www.theglobeandmail.com/feed/	404	0	0		http 404
REJECT	colombia_ven_peru	El Comercio Peru	https://elcomercio.pe/feed/	200	0	0		200 but no parseable items (likely HTML page)
REJECT	colombia_ven_peru	Semana Colombia	https://www.semana.com/rss/principal.xml	404	0	0		http 404
REJECT	colombia_ven_peru	TalCual Venezuela	https://talcualdigital.com/feed/	404	0	0		http 404
REJECT	indonesia	Detik (ID)	https://rss.detik.com/index.php/detikcom	502	0	0		http 502
REJECT	indonesia	Jakarta Post	https://www.thejakartapost.com/feed	404	0	0		http 404
REJECT	indonesia	Tempo English	https://en.tempo.co/rss/news	404	0	0		http 404
REJECT	iran_state_extra	IRIB English	https://english.iribnews.ir/rss		0	0		CONN: HTTPSConnectionPool(host='english.iribnews.ir', port=443): Max retries exceeded 
